Nate,Nathan,NF,NF,2024-05-14,NFReal Music,USA-NT-18-001,NF,SR-NT-18-001,1504.0,910.0,250.0,250.0,15250.0,MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAtEKL+eib9rK6O1MN2hUX1P5xNWMhnvTAhqNfLN08FLHogKi/STf0kZKgr9pxOlKhLp7fu0bM17gHHMAxHIpauepwUW+ZcC5ORyfTps/ap6TFyTpZC1V5gfo5V+y2vkLMB8nEJ6o1sSTxj78+zgMoy3h9l0Ly8BcuNHEESeYXTG+lka3WOetxoc8iLVzwiUJ9L3lpw5eLwTOBwx1eMdZlf4WMWY7gderN9potMhzQqakyrawON59sff5foaLB42lL4TxpM7Sb1QxOeoHXdnCgjCLdUy+/L4JIYEOWp93OnCSxYrVJvopz2Y0XOMAoch96G4+hQWRuiIoZQ69eu1Ac9QIDAQAB
The Search, NF, NF, NF, 2019-07-26, NFReal Music, USA-NT-19-001, NF, SR-NT-19-001, 1504.0, 910.0, 250.0, 250.0, 15250.0,MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAtEKL+eib9rK6O1MN2hUX1P5xNWMhnvTAhqNfLN08FLHogKi/STf0kZKgr9pxOlKhLp7fu0bM17gHHMAxHIpauepwUW+ZcC5ORyfTps/ap6TFyTpZC1V5gfo5V+y2vkLMB8nEJ6o1sSTxj78+zgMoy3h9l0Ly8BcuNHEESeYXTG+lka3WOetxoc8iLVzwiUJ9L3lpw5eLwTOBwx1eMdZlf4WMWY7gderN9potMhzQqakyrawON59sff5foaLB42lL4TxpM7Sb1QxOeoHXdnCgjCLdUy+/L4JIYEOWp93OnCSxYrVJvopz2Y0XOMAoch96G4+hQWRuiIoZQ69eu1Ac9QIDAQAB
Leave Me Alone, NF, NF, NF, 2019-07-26, NFReal Music, USA-NT-19-002, NF, SR-NT-19-002, 1504.0, 910.0, 250.0, 250.0, 15250.0,MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAtEKL+eib9rK6O1MN2hUX1P5xNWMhnvTAhqNfLN08FLHogKi/STf0kZKgr9pxOlKhLp7fu0bM17gHHMAxHIpauepwUW+ZcC5ORyfTps/ap6TFyTpZC1V5gfo5V+y2vkLMB8nEJ6o1sSTxj78+zgMoy3h9l0Ly8BcuNHEESeYXTG+lka3WOetxoc8iLVzwiUJ9L3lpw5eLwTOBwx1eMdZlf4WMWY7gderN9potMhzQqakyrawON59sff5foaLB42lL4TxpM7Sb1QxOeoHXdnCgjCLdUy+/L4JIYEOWp93OnCSxYrVJvopz2Y0XOMAoch96G4+hQWRuiIoZQ69eu1Ac9QIDAQAB
Change, NF, NF, NF, 2019-07-26, NFReal Music, USA-NT-19-003, NF, SR-NT-19-003, 1504.0, 910.0, 250.0, 250.0, 15250.0,MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAtEKL+eib9rK6O1MN2hUX1P5xNWMhnvTAhqNfLN08FLHogKi/STf0kZKgr9pxOlKhLp7fu0bM17gHHMAxHIpauepwUW+ZcC5ORyfTps/ap6TFyTpZC1V5gfo5V+y2vkLMB8nEJ6o1sSTxj78+zgMoy3h9l0Ly8BcuNHEESeYXTG+lka3WOetxoc8iLVzwiUJ9L3lpw5eLwTOBwx1eMdZlf4WMWY7gderN9potMhzQqakyrawON59sff5foaLB42lL4TxpM7Sb1QxOeoHXdnCgjCLdUy+/L4JIYEOWp93OnCSxYrVJvopz2Y0XOMAoch96G4+hQWRuiIoZQ69eu1Ac9QIDAQAB
My Stress, NF, NF, NF, 2019-07-26, NFReal Music, USA-NT-19-004, NF, SR-NT-19-004, 1504.0, 910.0, 250.0, 250.0, 15250.0,MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAtEKL+eib9rK6O1MN2hUX1P5xNWMhnvTAhqNfLN08FLHogKi/STf0kZKgr9pxOlKhLp7fu0bM17gHHMAxHIpauepwUW+ZcC5ORyfTps/ap6TFyTpZC1V5gfo5V+y2vkLMB8nEJ6o1sSTxj78+zgMoy3h9l0Ly8BcuNHEESeYXTG+lka3WOetxoc8iLVzwiUJ9L3lpw5eLwTOBwx1eMdZlf4WMWY7gderN9potMhzQqakyrawON59sff5foaLB42lL4TxpM7Sb1QxOeoHXdnCgjCLdUy+/L4JIYEOWp93OnCSxYrVJvopz2Y0XOMAoch96G4+hQWRuiIoZQ69eu1Ac9QIDAQAB
Nate, NF, NF, NF, 2019-07-26, NFReal Music, USA-NT-19-005, NF, SR-NT-19-005, 1504.0, 910.0, 250.0, 250.0, 15250.0,MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAtEKL+eib9rK6O1MN2hUX1P5xNWMhnvTAhqNfLN08FLHogKi/STf0kZKgr9pxOlKhLp7fu0bM17gHHMAxHIpauepwUW+ZcC5ORyfTps/ap6TFyTpZC1V5gfo5V+y2vkLMB8nEJ6o1sSTxj78+zgMoy3h9l0Ly8BcuNHEESeYXTG+lka3WOetxoc8iLVzwiUJ9L3lpw5eLwTOBwx1eMdZlf4WMWY7gderN9potMhzQqakyrawON59sff5foaLB42lL4TxpM7Sb1QxOeoHXdnCgjCLdUy+/L4JIYEOWp93OnCSxYrVJvopz2Y0XOMAoch96G4+hQWRuiIoZQ69eu1Ac9QIDAQAB
Time (Extended), NF, NF, NF, 2019-07-26, NFReal Music, USA-NT-19-006, NF, SR-NT-19-006, 1504.0, 910.0, 250.0, 250.0, 15250.0,MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAtEKL+eib9rK6O1MN2hUX1P5xNWMhnvTAhqNfLN08FLHogKi/STf0kZKgr9pxOlKhLp7fu0bM17gHHMAxHIpauepwUW+ZcC5ORyfTps/ap6TFyTpZC1V5gfo5V+y2vkLMB8nEJ6o1sSTxj78+zgMoy3h9l0Ly8BcuNHEESeYXTG+lka3WOetxoc8iLVzwiUJ9L3lpw5eLwTOBwx1eMdZlf4WMWY7gderN9potMhzQqakyrawON59sff5foaLB42lL4TxpM7Sb1QxOeoHXdnCgjCLdUy+/L4JIYEOWp93OnCSxYrVJvopz2Y0XOMAoch96G4+hQWRuiIoZQ69eu1Ac9QIDAQAB
Returns, NF, NF, NF, 2019-07-26, NFReal Music, USA-NT-19-007, NF, SR-NT-19-007, 1504.0, 910.0, 250.0, 250.0, 15250.0,MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAtEKL+eib9rK6O1MN2hUX1P5xNWMhnvTAhqNfLN08FLHogKi/STf0kZKgr9pxOlKhLp7fu0bM17gHHMAxHIpauepwUW+ZcC5ORyfTps/ap6TFyTpZC1V5gfo5V+y2vkLMB8nEJ6o1sSTxj78+zgMoy3h9l0Ly8BcuNHEESeYXTG+lka3WOetxoc8iLVzwiUJ9L3lpw5eLwTOBwx1eMdZlf4WMWY7gderN9potMhzQqakyrawON59sff5foaLB42lL4TxpM7Sb1QxOeoHXdnCgjCLdUy+/L4JIYEOWp93OnCSxYrVJvopz2Y0XOMAoch96G4+hQWRuiIoZQ69eu1Ac9QIDAQAB
When I Grow Up, NF, NF, NF, 2019-07-26, NFReal Music, USA-NT-19-008, NF, SR-NT-19-008, 1504.0, 910.0, 250.0, 250.0, 15250.0,MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAtEKL+eib9rK6O1MN2hUX1P5xNWMhnvTAhqNfLN08FLHogKi/STf0kZKgr9pxOlKhLp7fu0bM17gHHMAxHIpauepwUW+ZcC5ORyfTps/ap6TFyTpZC1V5gfo5V+y2vkLMB8nEJ6o1sSTxj78+zgMoy3h9l0Ly8BcuNHEESeYXTG+lka3WOetxoc8iLVzwiUJ9L3lpw5eLwTOBwx1eMdZlf4WMWY7gderN9potMhzQqakyrawON59sff5foaLB42lL4TxpM7Sb1QxOeoHXdnCgjCLdUy+/L4JIYEOWp93OnCSxYrVJvopz2Y0XOMAoch96G4+hQWRuiIoZQ69eu1Ac9QIDAQAB
Only, NF, NF, NF, 2019-07-26, NFReal Music, USA-NT-19-009, NF, SR-NT-19-009, 1504.0, 910.0, 250.0, 250.0, 15250.0,MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAtEKL+eib9rK6O1MN2hUX1P5xNWMhnvTAhqNfLN08FLHogKi/STf0kZKgr9pxOlKhLp7fu0bM17gHHMAxHIpauepwUW+ZcC5ORyfTps/ap6TFyTpZC1V5gfo5V+y2vkLMB8nEJ6o1sSTxj78+zgMoy3h9l0Ly8BcuNHEESeYXTG+lka3WOetxoc8iLVzwiUJ9L3lpw5eLwTOBwx1eMdZlf4WMWY7gderN9potMhzQqakyrawON59sff5foaLB42lL4TxpM7Sb1QxOeoHXdnCgjCLdUy+/L4JIYEOWp93OnCSxYrVJvopz2Y0XOMAoch96G4+hQWRuiIoZQ69eu1Ac9QIDAQAB
Let Me Go, NF, NF, NF, 2019-07-26, NFReal Music, USA-NT-19-010, NF, SR-NT-19-010, 1504.0, 910.0, 250.0, 250.0, 15250.0,MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAtEKL+eib9rK6O1MN2hUX1P5xNWMhnvTAhqNfLN08FLHogKi/STf0kZKgr9pxOlKhLp7fu0bM17gHHMAxHIpauepwUW+ZcC5ORyfTps/ap6TFyTpZC1V5gfo5V+y2vkLMB8nEJ6o1sSTxj78+zgMoy3h9l0Ly8BcuNHEESeYXTG+lka3WOetxoc8iLVzwiUJ9L3lpw5eLwTOBwx1eMdZlf4WMWY7gderN9potMhzQqakyrawON59sff5foaLB42lL4TxpM7Sb1QxOeoHXdnCgjCLdUy+/L4JIYEOWp93OnCSxYrVJvopz2Y0XOMAoch96G4+hQWRuiIoZQ69eu1Ac9QIDAQAB
